category,amt,gender,is_fraud,age,day,hour,distance_km
shopping,1.66,M,0,27,Sun,16,Commute
travel,3.37,M,0,92,Tue,22,Long_Distance
shopping,8.09,F,0,27,Mon,20,Regional
health,10.29,M,0,53,Mon,15,Long_Distance
shopping,1.14,M,0,36,Fri,19,Long_Distance
misc,2.11,F,0,77,Tue,11,Long_Distance
travel,49.85,F,0,33,Sat,8,Commute
home,192.91,M,0,26,Fri,15,Long_Distance
grocery,141.41,F,0,52,Mon,6,Commute
misc,29.95,F,0,68,Mon,9,Long_Distance
entertainment,78.51,F,0,23,Tue,13,Long_Distance
home,16.5,M,0,48,Mon,23,Commute
grocery,98.85,F,0,91,Mon,0,Long_Distance
home,196.13,M,0,88,Mon,20,Long_Distance
home,83.93,M,0,33,Fri,20,Regional
grocery,4.98,F,0,47,Fri,16,Commute
grocery,95.34,M,0,54,Mon,2,Commute
grocery,195.66,F,0,49,Fri,1,Long_Distance
entertainment,73.84,F,0,64,Sun,18,Long_Distance
travel,1.16,F,0,49,Wed,20,Commute
grocery,37.26,M,0,46,Fri,5,Local
entertainment,10.47,M,0,21,Mon,12,Long_Distance
entertainment,138.89,F,0,27,Tue,19,Long_Distance
grocery,65.93,M,0,40,Sat,1,Regional
home,74.86,F,0,83,Thu,15,Regional
home,97.04,M,0,50,Mon,19,Long_Distance
travel,50.47,M,0,30,Fri,4,Long_Distance
shopping,2.12,F,0,33,Mon,23,Regional
travel,57.85,F,0,44,Sat,10,Commute
home,95.35,M,0,40,Tue,17,Long_Distance
travel,59.49,M,0,73,Wed,7,Commute
health,36.6,M,0,38,Sat,18,Long_Distance
grocery,55.45,F,0,48,Sat,16,Commute
travel,54.15,M,0,75,Tue,9,Long_Distance
home,56.77,F,0,90,Sat,15,Long_Distance
travel,537.9,M,0,38,Sat,17,Long_Distance
misc,305.8,M,0,21,Mon,22,Commute
grocery,45.71,M,0,46,Mon,7,Long_Distance
misc,35.15,M,0,29,Sun,11,Commute
home,49.25,M,0,25,Sun,21,Long_Distance
shopping,751.42,F,0,44,Wed,22,Long_Distance
travel,6.86,F,0,27,Fri,22,Commute
travel,8.74,F,0,52,Sun,19,Long_Distance
shopping,6.55,F,0,36,Sun,19,Regional
misc,8.27,F,0,63,Sat,2,Commute
shopping,3.72,F,0,38,Sun,16,Commute
home,10.62,F,0,39,Sun,19,Long_Distance
home,69.31,M,0,39,Sat,17,Commute
home,28.4,M,0,48,Mon,19,Long_Distance
grocery,25.73,F,0,37,Fri,12,Long_Distance
grocery,197.29,F,0,46,Sat,0,Remote
grocery,80.89,M,0,25,Sun,20,Long_Distance
grocery,64.34,M,0,46,Mon,3,Long_Distance
health,63.84,F,0,44,Fri,14,Remote
entertainment,99.33,F,0,66,Sun,16,Long_Distance
health,72.11,F,0,44,Sat,13,Commute
travel,67.54,F,0,32,Sat,10,Regional
entertainment,3.57,M,0,48,Fri,16,Long_Distance
misc,9.11,F,0,65,Sat,4,Long_Distance
travel,36.36,M,0,75,Fri,3,Regional
misc,191.45,M,0,29,Sat,22,Long_Distance
misc,84.35,F,0,28,Fri,0,Remote
travel,58.73,F,0,29,Fri,5,Long_Distance
grocery,94.12,F,0,38,Mon,10,Long_Distance
home,142.94,M,0,54,Sun,15,Commute
personal,75.11,M,0,31,Thu,12,Long_Distance
home,48.83,M,0,39,Mon,20,Commute
grocery,97.71,F,0,25,Wed,0,Commute
home,40.33,F,0,56,Sat,15,Commute
misc,7.99,M,0,54,Sat,1,Regional
travel,47.69,F,0,70,Mon,8,Commute
shopping,19.73,F,0,74,Tue,2,Regional
home,114.24,F,0,42,Thu,23,Local
home,74.84,M,0,60,Sun,16,Regional
travel,9.45,F,0,26,Wed,20,Regional
personal,7.98,M,0,47,Mon,12,Long_Distance
shopping,6.45,M,0,23,Mon,19,Commute
grocery,50.03,F,0,77,Tue,20,Long_Distance
misc,6.37,F,0,52,Mon,5,Regional
shopping,6.43,M,0,59,Sat,8,Commute
home,77.79,F,0,30,Fri,21,Long_Distance
grocery,66.91,F,0,48,Fri,7,Regional
home,25.64,F,0,68,Sat,21,Long_Distance
misc,84.45,F,0,35,Sat,2,Long_Distance
grocery,49.05,F,0,32,Mon,14,Local
entertainment,56.72,M,0,60,Wed,2,Long_Distance
home,75.4,M,0,29,Sun,21,Commute
shopping,7.58,F,0,58,Sat,0,Regional
misc,78.71,M,0,21,Tue,20,Regional
grocery,158.72,F,0,43,Sat,3,Commute
shopping,2.38,M,0,46,Fri,12,Commute
travel,63.19,M,0,39,Mon,10,Regional
travel,85.68,M,0,58,Sun,4,Regional
travel,47.92,F,0,55,Tue,2,Long_Distance
misc,158.86,F,0,28,Sat,5,Long_Distance
grocery,12.79,M,0,29,Thu,22,Regional
shopping,4.4,F,0,27,Sat,17,Long_Distance
misc,37.06,M,0,44,Sat,13,Commute
shopping,163.58,F,0,44,Mon,22,Long_Distance
health,10.61,F,0,51,Sat,16,Commute
home,36.29,M,0,76,Mon,16,Commute
misc,77.54,F,0,37,Tue,10,Long_Distance
grocery,131.39,M,0,74,Tue,6,Long_Distance
personal,12.93,M,0,34,Tue,13,Long_Distance
entertainment,82.79,M,0,35,Mon,13,Long_Distance
travel,211.46,M,0,36,Mon,13,Regional
shopping,331.9,F,0,27,Tue,23,Commute
grocery,19.38,F,0,47,Wed,9,Regional
personal,58.65,F,0,74,Fri,14,Long_Distance
health,98.49,F,0,23,Sun,13,Regional
health,72.23,M,0,59,Thu,13,Regional
travel,42.27,F,0,36,Tue,2,Commute
home,36.49,F,0,39,Wed,18,Long_Distance
misc,1.19,M,0,43,Tue,16,Commute
grocery,56.27,M,0,59,Mon,4,Long_Distance
home,75.26,F,0,50,Fri,16,Long_Distance
entertainment,27.09,M,0,65,Sun,23,Local
health,27.37,F,0,59,Mon,18,Long_Distance
travel,4.25,M,0,86,Sun,21,Commute
personal,56.49,M,0,20,Sun,20,Regional
home,84.86,F,0,46,Wed,20,Commute
home,47.25,F,0,29,Sat,22,Commute
shopping,8.23,F,0,42,Sat,14,Long_Distance
home,82.4,F,0,31,Sat,12,Commute
entertainment,89.09,F,0,44,Fri,18,Long_Distance
personal,5.39,F,0,41,Thu,22,Commute
home,50.45,M,0,45,Fri,23,Commute
travel,2.85,F,0,48,Thu,21,Long_Distance
health,155.32,M,0,43,Fri,22,Long_Distance
entertainment,35.6,M,0,41,Mon,19,Remote
travel,50.92,F,0,49,Wed,4,Regional
personal,77.13,F,0,39,Fri,22,Regional
travel,72.91,M,0,22,Sun,2,Regional
misc,4.4,M,0,44,Wed,20,Commute
grocery,138.04,F,0,87,Thu,10,Long_Distance
shopping,5.44,M,0,35,Sun,22,Commute
misc,70.66,F,0,37,Mon,2,Long_Distance
grocery,102.62,M,0,41,Sun,2,Regional
home,136.59,M,0,24,Wed,16,Regional
personal,374.99,F,0,45,Mon,14,Commute
shopping,194.48,F,0,66,Mon,6,Commute
travel,45.52,F,0,32,Mon,1,Commute
home,36.14,M,0,27,Mon,17,Commute
home,53.03,F,0,74,Sat,12,Long_Distance
travel,5.82,F,0,28,Sun,19,Regional
shopping,3.19,F,0,29,Sun,13,Long_Distance
home,20.82,F,0,41,Fri,14,Commute
shopping,9.55,F,0,44,Fri,23,Long_Distance
shopping,1.18,F,0,74,Fri,8,Remote
grocery,48.7,M,0,56,Mon,10,Long_Distance
shopping,6.65,F,0,20,Sat,19,Long_Distance
travel,75.98,F,0,50,Sun,0,Commute
grocery,97.5,F,0,26,Sun,13,Commute
misc,1.28,F,0,43,Mon,10,Long_Distance
travel,58.15,F,0,58,Sat,5,Long_Distance
grocery,158.46,M,0,64,Mon,8,Regional
home,30.08,F,0,29,Fri,18,Commute
health,17.86,M,0,50,Mon,12,Regional
personal,1.46,M,0,54,Sun,16,Long_Distance
travel,64.81,F,0,21,Sun,1,Remote
home,121.11,M,0,45,Wed,23,Remote
travel,41.53,M,0,39,Fri,2,Long_Distance
grocery,55.99,M,0,44,Fri,10,Long_Distance
travel,72.71,F,0,62,Wed,2,Regional
shopping,1.78,F,0,20,Mon,19,Long_Distance
shopping,4.31,F,0,80,Mon,4,Long_Distance
travel,1.17,F,0,49,Mon,21,Long_Distance
grocery,102.44,M,0,25,Sun,6,Commute
travel,8.04,F,0,16,Thu,19,Long_Distance
entertainment,9.55,F,0,79,Thu,16,Regional
health,44.65,M,0,35,Sun,22,Regional
shopping,3.94,M,0,70,Thu,11,Regional
entertainment,3.06,F,0,56,Wed,15,Commute
grocery,57.59,F,0,42,Sat,5,Regional
home,15.05,M,0,15,Sat,16,Long_Distance
home,59.52,F,0,51,Sat,21,Regional
travel,6.83,M,0,46,Thu,22,Long_Distance
grocery,33.75,F,0,27,Thu,5,Long_Distance
grocery,192.39,F,0,49,Sat,11,Long_Distance
personal,56.94,M,0,46,Sun,12,Long_Distance
health,43.06,M,0,48,Sat,13,Regional
grocery,38.35,F,0,43,Mon,10,Long_Distance
entertainment,11.5,M,0,29,Mon,21,Commute
home,230.42,F,0,37,Mon,23,Regional
home,47.29,F,0,33,Fri,13,Long_Distance
grocery,100.79,M,0,60,Thu,11,Long_Distance
travel,9.47,M,0,21,Mon,19,Long_Distance
entertainment,70.18,F,0,20,Sat,17,Long_Distance
shopping,4.26,F,0,63,Mon,11,Long_Distance
misc,4.29,M,0,29,Sun,0,Commute
travel,6.22,F,0,54,Sat,16,Remote
travel,72.03,M,0,35,Tue,6,Regional
home,81.12,M,0,42,Sat,15,Long_Distance
misc,7.97,M,0,56,Mon,5,Long_Distance
grocery,125.51,F,0,66,Sat,3,Regional
misc,9.57,F,0,69,Sat,5,Commute
personal,20.15,M,0,68,Sun,14,Long_Distance
health,14.93,M,0,55,Sat,18,Commute
grocery,15.0,F,0,22,Mon,23,Long_Distance
shopping,3.31,M,0,39,Sun,22,Long_Distance
shopping,2.77,F,0,32,Sun,19,Long_Distance
travel,9.62,M,0,60,Sun,23,Long_Distance
grocery,93.94,F,0,29,Thu,4,Commute
shopping,424.19,F,0,41,Sat,21,Long_Distance
grocery,44.68,M,0,27,Wed,17,Commute
health,75.58,M,0,30,Thu,13,Long_Distance
home,45.81,M,0,54,Wed,13,Long_Distance
grocery,13.79,M,0,76,Thu,19,Commute
travel,55.93,M,0,65,Wed,3,Long_Distance
grocery,75.58,F,0,29,Sat,10,Long_Distance
entertainment,22.82,F,0,35,Sun,17,Long_Distance
personal,248.9,F,0,46,Fri,21,Regional
misc,37.33,M,0,44,Sat,4,Long_Distance
shopping,5.96,M,0,49,Thu,22,Commute
travel,5.77,M,0,61,Wed,23,Commute
home,176.39,M,0,25,Sun,22,Long_Distance
grocery,13.54,F,0,48,Thu,4,Regional
travel,43.26,M,0,78,Tue,1,Remote
shopping,3.42,M,0,74,Fri,8,Commute
home,9.02,M,0,44,Thu,12,Commute
health,19.02,F,0,36,Thu,20,Regional
misc,252.47,M,0,64,Mon,11,Long_Distance
personal,5.63,F,0,84,Sun,13,Long_Distance
entertainment,90.14,F,0,56,Thu,7,Long_Distance
shopping,3.07,F,0,28,Fri,15,Long_Distance
home,14.91,F,0,19,Thu,19,Long_Distance
home,221.63,M,0,54,Sat,22,Commute
misc,268.69,F,0,15,Thu,18,Long_Distance
grocery,65.26,M,0,86,Sun,1,Remote
personal,7.19,M,0,31,Sun,21,Long_Distance
entertainment,5.43,M,0,20,Sun,20,Long_Distance
misc,1.59,M,0,71,Sun,1,Regional
grocery,210.27,F,0,43,Thu,4,Commute
grocery,83.22,F,0,28,Sun,16,Commute
grocery,83.38,F,0,45,Sun,4,Commute
grocery,16.36,M,0,66,Mon,15,Local
health,81.41,M,0,76,Sun,12,Regional
home,39.0,M,0,51,Sun,22,Long_Distance
grocery,113.31,M,0,51,Sat,2,Long_Distance
grocery,28.59,F,0,22,Mon,18,Regional
entertainment,105.39,F,0,49,Fri,12,Long_Distance
home,25.59,M,0,49,Sat,12,Long_Distance
travel,66.94,M,0,40,Tue,2,Remote
home,45.2,F,0,35,Sun,18,Long_Distance
misc,7.29,M,0,47,Mon,14,Regional
personal,14.0,F,0,24,Wed,22,Long_Distance
travel,69.7,F,0,48,Tue,1,Commute
shopping,183.82,F,0,23,Mon,19,Long_Distance
home,91.95,F,0,80,Mon,15,Long_Distance
home,2.88,F,0,67,Wed,19,Long_Distance
grocery,92.12,M,0,26,Fri,0,Commute
travel,39.53,M,0,64,Fri,9,Local
shopping,5.76,F,0,63,Sun,7,Regional
home,92.03,M,0,30,Tue,19,Long_Distance
personal,21.26,M,0,52,Mon,15,Commute
shopping,25.47,M,0,58,Thu,6,Remote
misc,13.6,M,0,33,Thu,21,Regional
home,51.99,M,0,58,Mon,16,Long_Distance
grocery,89.63,M,0,72,Sun,6,Regional
health,68.25,F,0,51,Mon,23,Regional
misc,10.96,M,0,53,Sat,5,Commute
home,27.3,F,0,57,Sat,12,Long_Distance
entertainment,29.24,F,0,52,Sun,10,Long_Distance
shopping,2.92,F,0,30,Wed,19,Commute
personal,45.73,F,0,74,Thu,12,Commute
home,47.57,M,0,65,Thu,20,Long_Distance
travel,66.31,F,0,36,Sun,8,Long_Distance
travel,69.76,M,0,25,Thu,9,Commute
misc,6.84,M,0,41,Thu,8,Long_Distance
grocery,81.68,M,0,63,Fri,2,Remote
misc,7.1,M,0,45,Fri,7,Commute
entertainment,75.05,M,0,41,Sat,17,Regional
home,26.53,M,0,37,Tue,17,Local
entertainment,17.7,F,0,43,Mon,14,Long_Distance
shopping,379.9,F,0,34,Tue,12,Regional
grocery,188.87,F,0,28,Sat,0,Long_Distance
grocery,45.75,M,0,27,Sun,9,Long_Distance
travel,2.9,F,0,28,Sun,18,Regional
misc,6.83,M,0,37,Tue,20,Regional
travel,43.6,M,0,22,Thu,0,Commute
grocery,113.58,M,0,56,Thu,9,Long_Distance
